Cuenca o Litoral,Grupo de especie,Formato,Especie,Nombre más común de la especie,Forma de presentación
Amazonía,Peces,PezOseo,Acestrorhynchus microlepis,Agujeta,Entero fresco
Amazonía,Peces,PezOseo,Aequidens diadema,Mojarra fina,Entero
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Entero fresco
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado congelado
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado enhielado
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Eviscerado fresco
Amazonía,Peces,PezOseo,Ageneiosus vittatus,Gata,Eviscerado enhielado
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Entero
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Entero fresco
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Eviscerado
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Eviscerado congelado
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Eviscerado fresco
Amazonía,Peces,PezOseo,Anodus elongatus,Sardina de punto,Entero fresco
Amazonía,Peces,PezOseo,Anodus elongatus,Sardina de punto,Eviscerado fresco
Amazonía,Peces,PezOseo,Apteronotus albifrons,Cuchillo caballo,Entero fresco
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Entero fresco
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Eviscerado
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Eviscerado congelado
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Eviscerado enhielado
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Eviscerado fresco
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Seco salado
Amazonía,Peces,PezOseo,Argonectes longiceps,Blanquillo,Entero fresco
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Entero
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Entero fresco
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Eviscerado
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Eviscerado congelado
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Eviscerado enhielado
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Eviscerado fresco
Amazonía,Peces,PezOseo,Astyanax maximus,Sardina,Entero
Amazonía,Peces,PezOseo,Boulengerella lucius,Agujo,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma capapretum,Valentón,Descabezado
Amazonía,Peces,PezOseo,Brachyplatystoma capapretum,Valentón,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma capapretum,Valentón,Rodaja
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Descabezado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Entero
